iter	Logloss
0	0.6836639197
1	0.6738666007
2	0.6664805164
3	0.657685641
4	0.6489172003
5	0.6406847895
6	0.6350237442
7	0.6282664881
8	0.622625165
9	0.6158079117
10	0.6106134185
11	0.6056020309
12	0.599725148
13	0.594797701
14	0.5905420559
15	0.5845742431
16	0.5794646248
17	0.5760020561
18	0.5741473001
19	0.5694378704
20	0.566308746
21	0.5636005704
22	0.5601090758
23	0.5558195914
24	0.552572445
25	0.5505064188
26	0.5469071438
27	0.5442022207
28	0.5426549241
29	0.5388562814
30	0.5339459616
31	0.5326721468
32	0.5308404693
33	0.5282165458
34	0.5255869478
35	0.5212391964
