iter	Passed	Remaining
0	83	83876
1	150	75330
2	231	76898
3	301	75134
4	374	74563
5	427	70753
6	482	68438
7	530	65729
8	592	65294
9	676	66964
10	736	66219
11	795	65516
12	855	64948
13	909	64023
14	957	62893
15	1029	63284
16	1115	64525
17	1171	63915
18	1234	63764
19	1313	64368
20	1371	63938
21	1422	63254
22	1480	62870
23	1563	63580
24	1637	63870
25	1702	63762
26	1779	64114
27	1871	64977
28	1923	64420
29	1979	64006
30	2070	64709
31	2142	64801
32	2193	64262
33	2250	63937
34	2308	63644
35	2383	63836
