,index,Регистрационный номер,Код налогоплательщика," Cooтношение дебиторской задолженности к активам компании, %"," Активы  всего, RUB"," Выручка, RUB"," Долгосрочные обязательства, RUB"," Доля рабочего капитала в активах компании, %"," Коэффициент абсолютной ликвидности, %"," Коэффициент быстрой ликвидности, %"," Коэффициент обеспеченности собственными оборотными средствами, %"," Коэффициент оборачиваемости совокупных активов, %"," Коэффициент покрытия процентов по EBIT, %"," Коэффициент соотношения заемных и собственных средств, %"," Коэффициент текущей ликвидности, %"," Краткосрочные обязательства, RUB"," Кредиторская задолженность, RUB"," Нераспределенная прибыль (непокрытый убыток), RUB"," Период оборота активов, дни"," Период оборота запасов, дни"," Период оборота основных средств, дни"," Период погашения дебиторской задолженности, дни"," Период погашения кредиторской задолженности, дни"," Рентабельность активов (ROA), %"," Рентабельность затрат, %"," Рентабельность капитала (ROE), %"," Рентабельность продаж, %"," Себестоимость продаж, RUB"," Собственный оборотный капитал, RUB"," Соотношение совокупного долга к EBIT, %"," Соотношение совокупного долга к капиталу, %"," Соотношение чистого долга к капиталу, %"
count,43981.0,43981.0,43981.0,37220.0,43793.0,39809.0,14445.0,37646.0,38987.0,40777.0,42943.0,36261.0,9406.0,40975.0,40856.0,41287.0,41330.0,29311.0,37951.0,32875.0,30310.0,37310.0,36674.0,38715.0,39903.0,38780.0,39240.0,39133.0,37812.0,25758.0,29559.0,36889.0
mean,38599.89656897297,1258501674046.3452,5501935699.861076,0.5261284497581946,74857750.66837166,111079505.9240624,27481458.082381446,-0.020733318280826647,0.29424396337240616,1.1938407729847706,-0.3557296555899681,24.901421160475444,144.2713501807357,36.057971109212936,1.5253019776776973,55062489.43677186,47140983.40919429,10671843.484527992,599.5987194013333,129.5616699619772,100.361890465193,237.95692843741625,480.9526841904346,0.0406024279994834,0.09225277046838583,0.6871230015471892,0.03259739041794088,99052353.01034932,11756135.27811277,16.713731695007375,7.189339713792752,2.701082197945187
std,22364.103756803604,757837341388.2892,2435836594.0240555,0.2913917817964735,119854639.48347671,83719635.53123169,136603101.33840808,4.629611078448393,0.7013907052846311,1.3725979121691263,6.703499827439811,722.1814572579954,2334.274100024011,174.90387597542883,1.5173409162573925,58585346.40687423,46768382.956701465,21255283.166424923,4930.215626356402,1459.8420677421234,1887.7416180004038,778.4387152235006,2944.0004799887315,2.188921111146835,2.277478540783957,3.508455326248734,0.20603793797238137,74784519.80031407,49098324.1774756,2483.685717088987,242.1967812308545,216.71787302740483
min,0.0,0.0,105008744.0,-6.25,-47905000.0,0.0,-17905000.0,-307.8988,-4.2977,-8.3647,-301.1765,-24.709,-36445.0,-2305.9265,-8.9706,-1632000.0,-2011000.0,-71315000.0,-15.0,-162.7,-11.4,-419.0,-98.0,-182.0,-2.8372,-69.8557,-3.0467,400000.0,-1646409000.0,-211337.8333,-2045.2137,-1955.628
25%,19247.0,1075402016656.0,3627019630.0,0.2992,14619000.0,38530000.0,270000.0,-0.001,0.0161,0.6173,-0.0376,0.9176,1.0,1.0601500000000001,0.987,12133000.0,10207000.0,329000.0,102.0,7.1,0.7,45.0,68.4025,0.0035,0.0055,0.064,0.0063,33301000.0,-207000.0,0.0,0.0,-0.9474
50%,38530.0,1122342000098.0,6166047082.0,0.53195,48350000.0,100744000.0,2550000.0,0.0685,0.0868,0.8995,0.0439,1.9075,2.6258,5.4031,1.0657,36471000.0,31670000.0,2977000.0,179.0,26.5,6.5,88.0,133.93,0.0242,0.0234,0.3734,0.0239,87862000.0,2045500.0,0.2071,0.0827,-0.0668
75%,58135.0,1155958012000.0,7718608341.0,0.7643,100689000.0,166545000.0,11924000.0,0.3064,0.2976,1.146,0.26605,3.4426,15.576375,22.1814,1.410225,79794500.0,70158250.0,13171500.0,335.0,73.7,26.2,173.0,259.5975,0.0894,0.066,1.14815,0.0637,151540000.0,14754250.0,3.66655,1.1224500000000002,0.2967
max,77280.0,5187746033888.0,9909080715.0,1.653,3361288000.0,819666000.0,3165666000.0,3.9449,13.4932,14.6853,23.16,85862.1429,169353.0,2829.5455,14.0,516013000.0,195449000.0,116431000.0,542216.0,179013.8,242277.6,14783.0,174835.0,250.4211,259.3037,73.0,1.0,281813000.0,3245024000.0,274514.0,35167.4,35166.3
skewness,-0.008070964498520766,4.88965374728381,-0.5647602010557827,-0.4768748528221805,10.279784160373671,0.7086730362384981,12.447534382029168,-46.58727887727763,7.297515598096596,4.4832477293345345,-28.05381828962119,70.49729300949492,44.83335614142946,6.388535563546867,4.255306363093076,2.063880317626328,1.2057284878417744,2.0540136726722382,61.494427083946576,75.75805715383443,85.9785990544344,10.182421656116796,27.76865862016128,16.24742217743944,83.20340138950422,2.778167774475967,-4.372730348279882,0.5334792973289894,13.638771653292137,32.57580234880378,113.2420687978343,126.01490948582311
kurtosis,-1.199552560212568,22.035107390025413,-0.8598071474653812,7.238708457341152,184.4692453488457,0.44995539401462237,195.99185269815382,2524.56086643866,77.06759006679529,25.799223928510862,962.3184542246302,6723.6749622862435,3030.100385804526,89.17110198368594,22.133639861787515,7.233200312180097,0.687368626115278,6.357773978389069,5284.8148772080385,7873.180023186315,9764.589280029428,130.32815924904816,1119.3625080729007,5982.628471873345,8042.992697987493,169.83972032490098,52.161619206534354,-0.7028129314913865,680.075821395596,8342.802737448395,15479.21235621255,19313.88057225301
